Identifier ,Schema Name/Title,Creator(s)/Curator(s),Maintenance organization,"Place: Publisher, date.",Summary / Abstract ,Format(s) ,Language,Physical Location,Online Location ,Earlier versions (editions) …,History of versioning:,Version Notes: ,Last Updated: ,Number of terms in system,Phenomena included,Disciplines included,Direct domains included,Related to: ,BARTOC Link,ICC Classification ,NARCIS Classification ,KOS Types Vocabulary
KOS.SSH.3,Iconclass : an iconographic classification system,"Henri van de Waal, Rudi Fuchs, Leendert Couprie",Koninklijke Nederlandse Akademie van Wetenschappen (KNAW),"Amsterdam : North-Holland, 1973-1981.","Iconclass is a classification system designed for art and iconography. It is the most widely accepted scientific tool for the description and retrieval of subjects represented in images (works of art, book illustrations, reproductions, photographs, etc.) and is used by museums and art institutions around the world.",Printed Book,en,KOS.3!A1:A10,n/a,Iconclass was developed by Henri van de Waal and began taking shape in the 1950s before eventually being published in 1973. ,1st Edition ,n/a,n/a,n/a,Subjects of Visual Documents,Art,Art; Iconography,n/a,http://bartoc.org/en/node/459,048-942,D35100,Classification Scheme 
KOS.SSH.3.1,Iconclass : an iconographic classification system,Henri van de Waal,Utrecht University,"Leiden/Utrecht : ICONCLASS Research & Development Group, ©1991-1994.
http://www.iconclass.nl/about-iconclass/history-of-iconclass  ","Iconclass is a classification system designed for art and iconography. It is the most widely accepted scientific tool for the description and retrieval of subjects represented in images (works of art, book illustrations, reproductions, photographs, etc.) and is used by museums and art institutions around the world.","Digital, 7 computer discs ; 3 1/2 in. + browser user's guide (110 pages ; 20 cm) + browser for windows installation instructions (15 pages ; 20 cm) + bibliography user's guide (31 pages ; 20 cm) + user's guide index (6 pages ; 30 cm)",en,n/a,n/a,1st Edition,Version 2.0 (1991 - 1994),A machine readable updated version of ICONCLASS (IMRV). The browser is the computer version of the ICONCLASS system and index printed volumes.,n/a,n/a,Subjects of Visual Documents,Art,Art; Iconography,n/a,http://bartoc.org/en/node/459,048-942,D35100,Classification Scheme 
KOS.SSH.3.2,Iconclass,"Simona Ciofetta, Marco Lattanzi, Elena Plances,",Istituto centrale per il catalogo e la documentazione (Italy),"Roma : Istituto Centrale per il Catalogo e la Documentazione, 2000","Iconclass is a classification system designed for art and iconography. It is the most widely accepted scientific tool for the description and retrieval of subjects represented in images (works of art, book illustrations, reproductions, photographs, etc.) and is used by museums and art institutions around the world.",Printed Book,it,n/a,n/a,Version 2.0 (1991 - 1994),"Printed Book, Version IT","A project by the Ministry for Cultural Assets and Activities, Central Institute for Cataloging and Documentation.",n/a,n/a,Subjects of Visual Documents,Art,Art; Iconography,n/a,http://bartoc.org/en/node/459,048-942,D35100,Classification Scheme 
KOS.SSH.3.3,Iconclass : an iconographic classification system,Reem Weda,RKD-Nederlands Instituut voor Kunstgeschiedenis,"The Hague : RKD- Nederlands Instituut voor Kunstgeschiedenis, 2006",Iconclass is a subject specific international classification system for iconographic research and the documentation of images.,"Online, Digital, LOD, Internet Resource, Computer Resource, Website, Continually Updated Resource",ml,n/a,http://www.iconclass.org/help/outline,Version 2.0 (1991 - 1994),2100 browser,The multilingual Iconclass Libertas Browser became freely accessible as default online browser for Iconclass in November of 2004.,Continuously Updated Resource ,"28,000 hierarchically ordered definitions divided into ten main divisions.","Subjects of Visual Documents: 
0 Abstract, Non-representational Art
1 Religion and Magic
2 Nature
3 Human being, Man in general
4 Society, Civilization, Culture
5 Abstract Ideas and Concepts
6 History
7 Bible
8 Literature
9 Classical Mythology and Ancient History",Art,Art; Iconography,n/a,http://bartoc.org/en/node/459,048-942,D35100,Classification Scheme 
KOS.SSH.4,Nomenclature for museum cataloging : a system for classifying man-made objects,Robert G. Chenhall,n/a,"Nashville : American Association for State and Local History, 1978",A System for Classifying Man-Made Objects,Printed Book ,en,KOS.4!A1:A6,n/a,n/a,1st Edition,n/a,n/a,n/a,n/a,n/a,Manmade Objects,n/a,http://bartoc.org/en/node/1232,048-947,D35000 ,"Classification Scheme;
Taxonomy. "
KOS.SSH.4.1,Nomenclature for museum cataloging,Robert G Chenhall; James R Blackaby; Patricia Greeno;,"Nomenclature Committee, the.","Nashville : AASLH Press, 1989.",A System for Classifying Man-Made Objects,"Printed Book, Electronic Reproduction",en,KOS.4!A1:A6,http://www.worldcat.org/wcpa/oclc/570882154?page=frame&url=http%3A%2F%2Fcatalog.hathitrust.org%2Fapi%2Fvolumes%2Foclc%2F3380221.html%26checksum%3D6ee3451af3586498606779f04ee007f3&title=&linktype=digitalObject&detail=,1st Edition,2nd Edition,"A revised and expanded version of Robert G. Chenhall's system for classifying man-made objects / James R. Blackaby, Patricia Greeno and the Nomenclature Committee. (Digital: Electronic reproduction. [S.l.] : HathiTrust Digital Library, 2010. MiAaHDL)",n/a,n/a,n/a,n/a,Manmade Objects,n/a,http://bartoc.org/en/node/1232,048-947,D35000 ,"Classification Scheme;
Taxonomy. "
KOS.SSH.4.2,The Revised Nomenclature for Museum Cataloging: A Revised and Expanded Version of Robert G. Chenhall's System for Classifying Man-Made Objects,James R Blackaby; Patricia Greeno; Robert G Chenhall ,"Nomenclature Committee, the.","Walnut Creek, Calif. : AltaMira Press, 1995",A System for Classifying Man-Made Objects,"Printed Book, Electronic Reproduction",en,KOS.4!A8:A12,https://babel.hathitrust.org/cgi/pt?id=inu.30000050298599,2nd Edition,Revised Edition,"Rev. and expanded ed. of: Nomenclature for museum cataloging / Robert G. Chenhall. 1978; Electronic reproduction. Digital Copy [S.l.] : HathiTrust Digital Library, 2011. MiAaHDL",n/a,n/a,n/a,n/a,Manmade Objects,n/a,http://bartoc.org/en/node/1232,048-947,D35000 ,"Classification Scheme;
Taxonomy. "
KOS.SSH.4.3,Nomenclature 3.0 for Museum Cataloging: Robert G. Chenhall's System for Classifying Man-Made Objects,Paul Bourcier; Ruby Rogers;,"Nomenclature Committee, the.","Lanham, Maryland : Altamira Press, cop. 2010.",A System for Classifying Man-Made Objects,Printed Book,en,n/a,n/a,Revised Edition,3rd Edition,"Nomenclature 3.0 is a much-expanded edition of Robert G. Chenhall's system for classifying man-made objects, originally published in 1978.",n/a,"Expanded and modified with over 5,000 new terms suggested by individuals who work with special collections.",n/a,n/a,Manmade Objects,n/a,http://bartoc.org/en/node/1232,048-947,D35000 ,"Classification Scheme;
Taxonomy. "
KOS.SSH.4.4,Chenhall Nomenclature for classifying cultural objects; Nomenclature 4.0 for museum cataloging,"Paul Bourcier, Heather Dunn;",Nomenclature Task Force,"New York : Rowman & Littlefield, 2015","Nomenclature 4.0 for Museum Cataloging is an updated and expanded edition of Robert G. Chenhall's system for classifying man-made objects, originally published in 1978.",Printed Book,en,n/a,KOS.4!A14:A16,3rd Edition,4th Edition,"Nomenclature 4.0 is needed to respond to the rapidly changing nature of museum collections. Collecting digital objects has become unavoidable and Nomenclature 4.0 provides a standardized taxonomy for digital collections. Museums collecting smartphones, tablets, video games, born-digital photographs and other recent technologies will find this edition invaluable. -- Corinne Midgett, registrar of High Point Museum, North Carolina",n/a,n/a,"1: Built Environment Objects Category 
2: Furnishings Category 
3: Personal Objects Category 
4: Tools and Equipment for Materials Category 
5: Tools and Equipment for Science and Technology Category 
6: Tools and Equipment for Communication Category 
7: Distribution and Transportation Objects Category 
8: Communication Objects Category 
9: Recreational Objects Category 
10: Unclassifiable Objects",n/a,n/a,n/a,http://bartoc.org/en/node/1232,048-947,D35000 ,"Classification Scheme;
Taxonomy. "
KOS.SSH.5 ,Categories for the Description of Works of Art (CDWA),College Art Association (U.S) ,Getty Art History Information Program,"Santa Monica, CA : The Getty Art History Information Program : 
[Los Angeles?] : College Art Association, 1995.",Defines information that descriptions of art should include and identifies common vocabulary resources and descriptive practices,Computer file : 3.5 in. disc,en,n/a,n/a,n/a,Version 0.9 B,"""This beta release is a draft for your review and evaluation before its final release in February 1996""--p. [3] of Quick reference card.",n/a,n/a,n/a,"Art, Architecture, Cultural heritage.",Art; Architecture,"TGN, ULAN, CONA, IA, AAT, CCO, CIDOC CRM.",http://bartoc.org/en/node/18498,048-94,D31000,Categorization Scheme
KOS.SSH.5.1,Categories for the Description of Works of Art (CDWA),College Art Association (U.S) ,Getty Art History Information Program,"Santa Monica, CA : The Getty Art History Information Program :
 [?] : College Art Association, 1996.",Defines information that descriptions of art should include and identifies common vocabulary resources and descriptive practices,Computer file : 3.5 in. disc,en,n/a,n/a,Version 0.9 B,Version 1.0,"Accompanies special issue of Visual resources, v. 11, no. 3-4, 1996.",n/a,n/a,n/a,"Art, Architecture, Cultural heritage.",Art; Architecture,"TGN, ULAN, CONA, IA, AAT, CCO, CIDOC CRM.",http://bartoc.org/en/node/18498,048-94,D31000,Categorization Scheme
KOS.SSH.5.2,Categories for the Description of Works of Art (CDWA),Murtha Baca; Patricia Harpring;,The J. Paul Getty Trust,"Santa Monica, CA : J. Paul Getty Trust ; 
[?] : College Art Association, ©2000.","""CDWA is a set of guidelines for the description of art, architecture, and other cultural works. CDWA also provides a framework to which existing art information systems may be mapped, upon which new systems may be developed, or upon which data may be linked in an open environment. CDWA is mapped to the Cultural Objects Name Authority (CONA) and CIDOC CRM.""",Printed Book ,en,KOS.5!A1:A4,n/a,Version 1.0,1st Edition ,n/a,n/a,n/a,n/a,"Art, Architecture, Cultural heritage.",Art; Architecture,"TGN, ULAN, CONA, IA, AAT, CCO, CIDOC CRM.",http://bartoc.org/en/node/18498,048-94,D31000,Categorization Scheme
KOS.SSH.5.3,Categories for the Description of Works of Art (CDWA),Murtha Baca; Patricia Harpring;,"Getty Art History Information Program, College Art Association (U.S) ","[Santa Monica, California] : J. Paul Getty Trust ;
[?] : College Art Association, 2006-","""CDWA is a set of guidelines for the description of art, architecture, and other cultural works. CDWA also provides a framework to which existing art information systems may be mapped, upon which new systems may be developed, or upon which data may be linked in an open environment. CDWA is mapped to the Cultural Objects Name Authority (CONA) and CIDOC CRM.""","Website, Digital, Online, Continually Updated Resource",en,n/a,n/a,1st Edition ,Online Version ,"""Revised March 2014 by Patricia Harpring.""
Earlier versions issued in print.",n/a,n/a,n/a,"Art, Architecture, Cultural heritage.",Art; Architecture,"TGN, ULAN, CONA, IA, AAT, CCO, CIDOC CRM.",http://bartoc.org/en/node/18498,048-94,D31000,Categorization Scheme
KOS.SSH.5.4,Categories for the Description of Works of Art (CDWA),Murtha Baca; Patricia Harpring;,Getty Art History Information Program,The J. Paul Getty Trust,"CDWA is a set of guidelines for the description of art, architecture, and other cultural works. CDWA also provides a framework to which existing art information systems may be mapped, upon which new systems may be developed, or upon which data may be linked in an open environment. CDWA is mapped to CIDOC CRM and other standards. An implementation of CDWA is the Cultural Objects Name Authority (CONA).","Website, Digital, Online, Continually Updated Resource",en,n/a,http://www.getty.edu/research/publications/electronic_publications/cdwa/index.html,Online Version ,Revised 2016 ,"Revised 2016 by Patricia Harpring. 
Murtha Baca and Patricia Harpring, Editors",n/a,n/a,"The Categories for the Description of Works of Art (CDWA) are a set of guidelines for best practice in cataloging and describing works of art, architecture, other material culture, groups and collections of works, and related images, arranged in a conceptual framework that may be used for designing databases and accessing information. CDWA includes around 540 categories and subcategories of information.","Art, Architecture, Cultural heritage.",Art; Architecture,"TGN, ULAN, CONA, IA, AAT, CCO, CIDOC CRM.",http://bartoc.org/en/node/18498,048-94,D31000,Categorization Scheme
KOS.SSH.6,Core Categories for Visual Resources: A Draft Proposed by the VRA Data Standards Committee,J. D. Wees,Library of Congress ,"VRA BULLETIN, 23, no. 3, (1996): 57-58",The VRA Core is a data standard for the description of works of visual culture as well as the images that document them.,"Article, Electronic Copy",en,KOS.6!A1:A6,http://www.loc.gov/standards/vracore/VRACore1.0_elements.pdf,n/a,Version 1.0 ,"Originally published as Wees, Dustin J., ""Core Categories for Visual Resources. A Draft Proposed by the VRA Data Standards Committee."" VRA Bulletin 23, 3 (Fall 1996), pp. 57-63.",1996,n/a,"Art, 
Traditional museum artifacts","Art, Architecture, Cultural heritage.",Art; Architecture,"MARC Standards, CDWA, RLG Reach",n/a,048-9,D35000,n/a
KOS.SSH.6.1,Visual Resources Association Core (VRA CORE),VRA Data Standards Committee,Library of Congress ,"VRA BULLETIN, 25, no. 4, (1998): 29",The VRA Core is a data standard for the description of works of visual culture as well as the images that document them.,"Article, Online, Digital, Web Document ",en,KOS.6!A8:A13,http://www.loc.gov/standards/vracore/VRACore2.0_elements.pdf,Version 1.0 ,Version 2.0 ,"Version 2.0 expands the concept to include ephemera and non-art objects and replaces the word object with the word work. A work is defined as any physical entity or event that exists or has existed at some time in the past that may be captured in physical form as a visual document. In addition to art and traditional museum artifacts, this definition includes events, architecture, and any objects or structures from material, popular and folk culture. ",Last updated 10/15/1997,n/a,"In addition to art and traditional museum artifacts, this definition includes events, architecture, and any objects or structures from material, popular and folk culture.","Art, Architecture, Cultural heritage.",Art; Architecture,"MARC Standards, CDWA, RLG Reach",n/a,048-9,D35000,n/a
KOS.SSH.6.2,Visual Resources Association Core (VRA CORE),VRA Data Standards Committee,Library of Congress ,VRA Data Standards Committee,The VRA Core is a data standard for the description of works of visual culture as well as the images that document them.,"Online, Digital, Web Document ",en,n/a,http://www.loc.gov/standards/vracore/schemas.html,Version 2.0 ,Version 3.0,"The VRA Core 3.0 conflates the Work (W) and the Visual Document (V) element sets from VRA Core 2.0 into a single universally applicable element set. Core 3.0 retains the same order of elements, and where possible, the same category titles and definitions that were us ed in Core 2.0. Users of the Core 3.0 will wish to rearrange these elements in their local applications into sequences which reflect their needs. Because work and image records use the same element set, a new element—Record Type—was added.  This element defines the type of resource that is being described.  ",Last updated 2/20/2002,n/a,n/a,"Art, Architecture, Cultural heritage.",Art; Architecture,"MARC Standards, CDWA, RLG Reach, Dublin Core. ",n/a,048-9,D35000,n/a
KOS.SSH.6.3,"Visual Resources Association Core, 4.0 Core Schemas (VRA CORE)",VRA Data Standards Committee,Library of Congress ,"Washington : VRA Data Standards Committee, 2007",The VRA Core is a data standard for the description of works of visual culture as well as the images that document them.,"Online, Digital, Web Document ",en,n/a,http://www.loc.gov/standards/vracore/schemas.html,Version 3.0,Version 4.0 Core Schemas; Restricted Version ,"The current version 4.0, that was released in 2007, is expressed as an XML schema in order to support the interoperability and exchange of VRA Core records.
The restricted schema imposes requirements on the data values entered into the type attributes (see supporting document Restricted Schema Type Values for a list of allowed values and their definitions.) The restricted version may be more appropriate for those wishing to aggregate VRA Core data from multiple sources into a common repository or shared cataloging environment.","Current, Released 04/09/2007","An element in Core 4.0 is unit of metadata and is the equivalent of a field in a database (e.g. agent). Some elements contain sub-elements which are parent:child hierarchical relationships (e.g. agent:dates). Attributes further qualify the information in the elements and sub-elements (agent:dates:type). VRA Core contains 19 elements, namely record type (collection/work/image), agent, culturalContext, date, description, inscription, location, material, measurements, relation, rights, source, stateEdition, stylePeriod, subject, technique, textref, title, and worktype. In addition, there are 9 global attributes which can be used to qualify any element or sub-element. They include: dataDate, extent, href, pref (preferred value), refid (link to internal identifiers), rules, source, vocab, xml:lang. For more details see supporting document VRA Core 4.0 Element Outline.","Works of visual culture can include objects or events such as paintings, drawings, sculpture, architecture, photographs, as well as book, decorative, and performance art.","Art, Architecture, Cultural heritage.",Art; Architecture,"MARC Standards, CDWA, RLG Reach, Dublin Core. ",n/a,048-9,D35000,n/a
KOS.SSH.6.4,"Visual Resources Association Core, 4.0 Core Schemas (VRA CORE)",VRA Data Standards Committee,Library of Congress ,"Washington : VRA Data Standards Committee, 2007",The VRA Core is a data standard for the description of works of visual culture as well as the images that document them.,"Online, Digital, Web Document ",en,n/a,http://www.loc.gov/standards/vracore/schemas.html,Version 3.0,Version 4.0 Core Schemas; Unrestricted Version ,"The current version 4.0, that was released in 2007, is expressed as an XML schema in order to support the interoperability and exchange of VRA Core records.
The unrestricted schema imposes no requirements on the values entered into any of the elements, sub-elements, or attributes, and may be useful for those who want to exchange legacy data.","Current, Released 04/09/2007","An element in Core 4.0 is unit of metadata and is the equivalent of a field in a database (e.g. agent). Some elements contain sub-elements which are parent:child hierarchical relationships (e.g. agent:dates). Attributes further qualify the information in the elements and sub-elements (agent:dates:type). VRA Core contains 19 elements, namely record type (collection/work/image), agent, culturalContext, date, description, inscription, location, material, measurements, relation, rights, source, stateEdition, stylePeriod, subject, technique, textref, title, and worktype. In addition, there are 9 global attributes which can be used to qualify any element or sub-element. They include: dataDate, extent, href, pref (preferred value), refid (link to internal identifiers), rules, source, vocab, xml:lang. For more details see supporting document VRA Core 4.0 Element Outline.","Works of visual culture can include objects or events such as paintings, drawings, sculpture, architecture, photographs, as well as book, decorative, and performance art.","Art, Architecture, Cultural heritage.",Art; Architecture,"MARC Standards, CDWA, RLG Reach, Dublin Core. ",n/a,048-9,D35000,n/a
KOS.SSH.7,International guidelines for museum object information : the CIDOC information categories,Alice Grant; Joséphine Nieuwenhuis; Toni Petersen;,International Committee for Documentation of the International Council of Museums,"Paris : CIDOC, 1995.",The CIDOC Conceptual Reference Model (CRM) provides definitions and a formal structure for describing the implicit and explicit concepts and relationships used in cultural heritage documentation.,"HTML, Printed, Electronic 

Printed and electronic versions of the Guidelines are available from:
ICOM, Maison de Unesco, 1, Rue Miollis, 75732, Paris, cedex 15 France 
tel.: +33 1 47340500; fax: + 33 1 43067862; e-mail: icom@unesco.org",en ,KOS.7!A1:A2,http://old.cidoc-crm.org/docs/guide.htm,n/a ,Version 1 ,http://old.cidoc-crm.org/docs/guidelines/guidepre.htm,September 1998,n/a,"22 Information Groups, each containing one or more Information Category.
http://old.cidoc-crm.org/docs/guidelines/guidecat.htm ","Art, Cultural heritage.",Art,AAT ,http://bartoc.org/en/node/1644,048-9,D31000,Ontology
